REGISTRATION_DATE,REGISTRATION_COUNTRY,PURCHASE_COUNT,PURCHASE_COUNT_DELIVERY,PURCHASE_COUNT_TAKEAWAY,FIRST_PURCHASE_DAY,LAST_PURCHASE_DAY,USER_ID,BREAKFAST_PURCHASES,LUNCH_PURCHASES,EVENING_PURCHASES,DINNER_PURCHASES,LATE_NIGHT_PURCHASES,TOTAL_PURCHASES_EUR,DISTINCT_PURCHASE_VENUE_COUNT,MIN_PURCHASE_VALUE_EUR,MAX_PURCHASE_VALUE_EUR,AVG_PURCHASE_VALUE_EUR,PREFERRED_DEVICE,IOS_PURCHASES,WEB_PURCHASES,ANDROID_PURCHASES,PREFERRED_RESTAURANT_TYPES,USER_HAS_VALID_PAYMENT_METHOD,MOST_COMMON_HOUR_OF_THE_DAY_TO_PURCHASE,MOST_COMMON_WEEKDAY_TO_PURCHASE,AVG_DAYS_BETWEEN_PURCHASES,MEDIAN_DAYS_BETWEEN_PURCHASES,AVERAGE_DELIVERY_DISTANCE_KMS,PURCHASE_COUNT_BY_STORE_TYPE,Purchase_Frequency
2019-09-01,FIN,3,3,0,2020-02-02,2020-10-31,28,0,2,1,0,0,80.96,3,22.308,35.56,27.324,ios,1,0,2,unknown,True,6,Friday,136,136,2.39,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,LVA,33,32,1,2019-09-13,2020-10-29,32,0,7,7,13,0,753.94,13,7.098,40.64,23.276,ios,33,0,0,unknown,True,23,Tuesday,13,2,6.747,"{
  ""General merchandise"": 0,
  ""Grocery"": 16,
  ""Pet supplies"": 1,
  ""Restaurant"": 16,
  ""Retail store"": 0
}",Moderate
2019-09-01,GRC,3,3,0,2019-09-01,2020-01-17,34,0,1,0,2,0,56.672,2,18.252,19.304,19.228,ios,3,0,0,unknown,True,9,Wednesday,69,69,10.618,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2020-10-17,2020-10-17,38,0,1,0,0,0,64.768,1,64.896,65.024,64.768,ios,1,0,0,unknown,True,6,Friday,64,55,7.431,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,3,3,0,2019-11-03,2019-11-13,40,0,2,0,1,0,46.552,2,15.21,16.256,15.18,android,0,0,3,unknown,True,1,Wednesday,5,5,1.566,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Frequent
2019-09-01,DNK,1,1,0,2020-06-15,2020-06-15,42,0,1,0,0,0,38.456,1,38.532,38.608,38.456,ios,1,0,0,unknown,False,7,Thursday,64,55,4.55,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,GRC,2,2,0,2020-09-11,2020-09-18,43,0,2,0,0,0,12.144,2,6.084,6.096,6.072,android,2,0,0,unknown,False,12,Tuesday,7,7,0.271,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Frequent
2019-09-01,FIN,3,3,0,2020-01-04,2020-08-22,45,0,3,0,0,0,113.344,3,31.434,41.656,37.444,android,0,0,3,unknown,False,23,Wednesday,116,116,6.776,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,1,1,0,2019-11-05,2019-11-05,46,0,1,0,0,0,55.66,1,55.77,55.88,55.66,web,0,1,0,unknown,True,23,Saturday,64,55,8.617,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2019-09-01,2019-09-01,49,1,0,0,0,0,26.312,1,26.364,26.416,26.312,web,0,1,0,unknown,True,20,Sunday,64,55,7.357,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,GRC,1,1,0,2019-09-24,2019-09-24,51,0,0,0,1,0,9.108,1,9.126,9.144,9.108,android,0,0,1,unknown,False,10,Friday,64,55,0.862,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,2,2,0,2019-09-02,2019-09-03,54,0,0,0,2,0,63.756,2,23.322,41.656,32.384,android,0,0,2,unknown,True,13,Friday,1,1,6.934,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Frequent
2019-09-01,GRC,1,1,0,2019-09-01,2019-09-01,55,1,0,0,0,0,6.072,1,6.084,6.096,6.072,android,0,0,1,unknown,False,23,Monday,64,55,3.596,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,2,2,0,2019-09-01,2019-09-22,57,2,0,0,0,0,38.456,2,16.224,22.352,19.228,ios,2,0,0,unknown,True,7,Sunday,21,21,4.817,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Moderate
2019-09-01,GRC,4,4,0,2020-01-08,2020-06-16,58,0,4,0,0,0,33.396,4,8.112,9.144,8.096,android,0,2,2,unknown,True,11,Sunday,53,35,1.836,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 4,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,3,3,0,2019-09-01,2019-09-11,59,1,1,1,0,0,91.08,2,19.266,38.608,30.36,android,0,0,3,unknown,True,8,Thursday,5,5,3.167,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Frequent
2019-09-01,GRC,1,1,0,2019-09-01,2019-09-01,60,1,0,0,0,0,7.084,1,7.098,7.112,7.084,android,0,0,1,unknown,True,21,Sunday,64,55,4.256,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,GRC,1,1,0,2020-07-23,2020-07-23,65,0,1,0,0,0,8.096,1,8.112,8.128,8.096,android,0,0,1,unknown,True,21,Tuesday,64,55,3.963,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,8,8,0,2019-11-16,2020-10-25,66,0,2,0,5,0,276.276,6,11.154,68.072,34.408,android,4,0,4,unknown,False,12,Thursday,49,34,9.94,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 4,
  ""Retail store"": 4
}",Infrequent
2019-09-01,FIN,1,1,0,2019-10-10,2019-10-10,67,0,0,0,1,0,17.204,1,17.238,17.272,17.204,ios,1,0,0,unknown,True,10,Monday,64,55,8.677,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,GRC,16,16,0,2020-02-27,2020-10-26,70,0,11,0,5,0,322.828,7,6.084,35.56,20.24,ios,16,0,0,unknown,True,18,Tuesday,16,4,4.94,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 8,
  ""Retail store"": 8
}",Moderate
2019-09-01,FIN,1,1,0,2019-09-01,2019-09-01,71,0,1,0,0,0,27.324,1,27.378,27.432,27.324,ios,1,0,0,unknown,True,4,Monday,64,55,8.043,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,13,13,0,2019-09-07,2020-02-27,72,1,6,1,5,0,270.204,2,16.224,25.4,21.252,android,0,0,13,unknown,False,20,Friday,14,14,10.143,"{
  ""General merchandise"": 1,
  ""Grocery"": 6,
  ""Pet supplies"": 0,
  ""Restaurant"": 6,
  ""Retail store"": 0
}",Moderate
2019-09-01,FIN,1,1,0,2020-01-03,2020-01-03,75,0,0,0,1,0,41.492,1,41.574,41.656,41.492,ios,0,1,0,unknown,True,20,Saturday,64,55,1.881,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,1,1,0,2020-09-26,2020-09-26,76,0,0,0,1,0,27.324,1,27.378,27.432,27.324,ios,1,0,0,unknown,False,3,Friday,64,55,3.941,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,6,4,2,2020-04-09,2020-10-18,78,0,3,0,3,0,105.248,6,12.168,23.368,17.204,android,0,0,6,unknown,False,16,Tuesday,38,42,8.59,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 3
}",Infrequent
2019-09-01,FIN,3,3,0,2020-09-04,2020-09-20,79,0,2,0,1,0,74.888,3,21.294,32.512,25.3,android,0,0,3,unknown,False,16,Tuesday,8,8,8.265,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Moderate
2019-09-01,GRC,320,320,0,2019-09-01,2020-02-29,80,37,171,34,78,0,4335.408,34,6.084,33.528,13.156,web,0,196,124,unknown,True,3,Thursday,1,1,4.407,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 160,
  ""Retail store"": 160
}",Frequent
2019-09-01,GRC,2,2,0,2019-09-17,2019-10-22,81,0,0,2,0,0,15.18,2,7.098,8.128,7.084,android,0,0,2,unknown,True,11,Monday,35,35,11.145,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,1,1,0,2019-10-06,2019-10-06,83,0,1,0,0,0,21.252,1,21.294,21.336,21.252,ios,1,0,0,unknown,True,14,Thursday,64,55,8.572,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2019-09-01,2019-09-01,85,0,1,0,0,0,25.3,1,25.35,25.4,25.3,ios,1,0,0,unknown,True,17,Wednesday,64,55,6.434,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2020-06-16,2020-06-16,87,0,0,0,1,0,21.252,1,21.294,21.336,21.252,android,1,0,0,unknown,True,20,Friday,64,55,2.669,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,1,1,0,2020-08-23,2020-08-23,88,0,1,0,0,0,26.312,1,26.364,26.416,26.312,ios,1,0,0,unknown,True,7,Saturday,64,55,8.52,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,5,4,1,2019-09-01,2020-09-26,89,0,2,0,3,0,135.608,3,20.28,35.56,27.324,android,0,0,5,unknown,True,19,Thursday,98,91,11.773,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 5,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,5,5,0,2019-10-14,2020-10-28,91,0,1,0,4,0,134.596,3,22.308,33.528,27.324,ios,5,0,0,unknown,False,13,Saturday,95,91,3.669,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 5,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,2,2,0,2020-04-15,2020-08-28,93,0,1,0,1,0,65.78,2,26.364,40.64,33.396,android,0,0,2,unknown,False,2,Friday,135,135,1.373,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,8,8,0,2019-09-08,2020-07-27,94,0,4,1,3,0,388.608,3,30.42,70.104,48.576,ios,3,0,5,unknown,False,8,Thursday,46,49,7.973,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 4,
  ""Retail store"": 4
}",Infrequent
2019-09-01,DNK,1,1,0,2020-08-06,2020-08-06,97,0,1,0,0,0,35.42,1,35.49,35.56,35.42,ios,1,0,0,unknown,True,22,Monday,64,55,5.024,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2020-05-29,2020-05-29,98,0,0,0,1,0,49.588,1,49.686,49.784,49.588,android,0,0,1,unknown,False,23,Sunday,64,55,10.774,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2020-02-12,2020-02-12,100,0,0,1,0,0,48.576,1,48.672,48.768,48.576,android,0,0,1,unknown,True,8,Thursday,64,55,6.098,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,11,10,1,2020-05-22,2020-10-15,102,0,8,0,3,0,269.192,6,17.238,51.816,24.288,ios,11,0,0,unknown,False,20,Wednesday,15,11,1.909,"{
  ""General merchandise"": 1,
  ""Grocery"": 5,
  ""Pet supplies"": 0,
  ""Restaurant"": 5,
  ""Retail store"": 0
}",Moderate
2019-09-01,DNK,2,2,0,2020-05-01,2020-09-03,103,0,0,0,2,0,91.08,2,40.56,51.816,45.54,ios,2,0,0,unknown,False,11,Thursday,125,125,0.989,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,14,13,1,2019-10-18,2020-08-09,104,1,5,2,6,0,387.596,5,16.224,44.704,27.324,web,0,14,0,unknown,True,5,Wednesday,23,21,1.553,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 7,
  ""Retail store"": 7
}",Moderate
2019-09-01,FIN,17,5,12,2019-09-21,2020-10-24,106,0,9,0,8,0,455.4,9,10.14,50.8,26.312,android,0,0,17,unknown,True,10,Sunday,25,22,3.132,"{
  ""General merchandise"": 1,
  ""Grocery"": 8,
  ""Pet supplies"": 0,
  ""Restaurant"": 8,
  ""Retail store"": 0
}",Moderate
2019-09-01,GRC,6,6,0,2020-07-15,2020-10-16,107,0,6,0,0,0,71.852,2,7.098,19.304,12.144,ios,5,1,0,unknown,True,5,Friday,19,17,9.059,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 3
}",Moderate
2019-09-01,DNK,1,1,0,2019-09-15,2019-09-15,109,0,1,0,0,0,34.408,1,34.476,34.544,34.408,ios,1,0,0,unknown,False,18,Tuesday,64,55,11.22,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,5,4,1,2019-09-01,2020-07-17,111,0,3,0,2,0,142.692,5,21.294,37.592,28.336,ios,5,0,0,unknown,False,13,Sunday,80,81,7.414,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 5,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,2,0,2,2019-09-01,2019-10-10,112,0,2,0,0,0,48.576,1,24.336,24.384,24.288,web,0,2,0,unknown,True,0,Sunday,39,39,6.874,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,3,2,1,2019-12-29,2020-03-03,116,0,1,0,2,0,86.02,3,13.182,46.736,28.336,ios,3,0,0,unknown,False,15,Tuesday,33,33,8.944,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,2,2,0,2019-09-01,2019-09-04,117,0,2,0,0,0,24.288,2,10.14,14.224,12.144,ios,2,0,0,unknown,True,23,Friday,3,3,3.244,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Frequent
2019-09-01,DNK,11,2,9,2019-09-01,2020-10-15,118,0,5,0,6,0,423.016,3,20.28,77.216,38.456,ios,11,0,0,unknown,False,21,Thursday,41,24,10.705,"{
  ""General merchandise"": 1,
  ""Grocery"": 5,
  ""Pet supplies"": 0,
  ""Restaurant"": 5,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,4,2,2,2019-10-12,2020-05-23,119,0,4,0,0,0,72.864,3,12.168,22.352,18.216,ios,4,0,0,unknown,False,2,Friday,75,11,2.982,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 4,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,45,45,0,2019-09-01,2020-10-16,120,0,17,2,26,0,1189.1,16,17.238,46.736,26.312,ios,45,0,0,unknown,False,5,Thursday,9,3,1.287,"{
  ""General merchandise"": 0,
  ""Grocery"": 22,
  ""Pet supplies"": 1,
  ""Restaurant"": 22,
  ""Retail store"": 0
}",Moderate
2019-09-01,FIN,6,6,0,2019-09-01,2020-10-09,123,0,2,0,4,0,198.352,4,20.28,48.768,33.396,web,0,1,5,unknown,True,23,Monday,81,111,10.059,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 3
}",Infrequent
2019-09-01,DNK,17,17,0,2019-09-06,2020-09-26,124,0,4,0,13,0,383.548,8,14.196,35.56,22.264,ios,17,0,0,unknown,False,17,Saturday,24,11,6.768,"{
  ""General merchandise"": 1,
  ""Grocery"": 8,
  ""Pet supplies"": 0,
  ""Restaurant"": 8,
  ""Retail store"": 0
}",Moderate
2019-09-01,DNK,4,4,0,2019-09-01,2020-09-01,125,0,2,0,2,0,73.876,3,15.21,22.352,18.216,web,0,4,0,unknown,True,6,Saturday,122,82,4.037,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 4,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,1,1,0,2019-09-01,2019-09-01,126,0,1,0,0,0,43.516,1,43.602,43.688,43.516,android,0,0,1,unknown,False,1,Thursday,64,55,3.02,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,21,17,4,2019-09-01,2020-10-31,127,0,7,0,14,0,704.352,5,23.322,53.848,33.396,ios,20,1,0,unknown,True,16,Saturday,21,12,10.398,"{
  ""General merchandise"": 1,
  ""Grocery"": 10,
  ""Pet supplies"": 0,
  ""Restaurant"": 10,
  ""Retail store"": 0
}",Moderate
2019-09-01,DNK,2,2,0,2019-09-01,2019-09-19,129,0,1,0,1,0,104.236,2,41.574,62.992,51.612,web,1,1,0,unknown,True,6,Friday,18,18,4.856,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 2,
  ""Retail store"": 0
}",Moderate
2019-09-01,DNK,3,3,0,2019-09-28,2020-10-31,131,0,2,0,1,0,164.956,2,39.546,64.008,54.648,web,0,2,1,unknown,True,16,Wednesday,399,399,8.1,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,DNK,3,1,2,2019-09-01,2020-09-20,133,0,1,0,2,0,152.812,3,34.476,70.104,50.6,ios,1,2,0,unknown,True,15,Tuesday,193,193,2.026,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 3,
  ""Retail store"": 0
}",Infrequent
2019-09-01,GRC,1,1,0,2019-09-03,2019-09-03,134,0,1,0,0,0,9.108,1,9.126,9.144,9.108,android,0,0,1,unknown,True,2,Tuesday,64,55,2.983,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
2019-09-01,FIN,1,1,0,2019-09-01,2019-09-01,135,0,1,0,0,0,47.564,1,47.658,47.752,47.564,ios,1,0,0,unknown,False,16,Tuesday,64,55,10.265,"{
  ""General merchandise"": 0,
  ""Grocery"": 0,
  ""Pet supplies"": 0,
  ""Restaurant"": 1,
  ""Retail store"": 0
}",Infrequent
